library,total_reads,mapped_assigned_reads,mapped_assigned_efficiency,remove_or_keep
196_S76,7697429,6912592,0.898039073,keep
365_S14,2989823,2681064,0.896730007,keep
190_S70,6739657,6037536,0.895822443,keep
373_S84,2727458,2441301,0.895082894,keep
207_S86,9106721,8146928,0.894606083,keep
170_S51,4793867,4285312,0.893915497,keep
372_S72,2949434,2634837,0.893336484,keep
348_S11,3477979,3105068,0.892779399,keep
369_S35,3013409,2685108,0.891053289,keep
366_S66,2844873,2534112,0.890764544,keep
198_S78,3194532,2845344,0.89069197,keep
368_S58,2398589,2133745,0.889583418,keep
370_S24,3029779,2690437,0.887997771,keep
208_S87,4215815,3743426,0.887948356,keep
195_S75,6866314,6096397,0.887870406,keep
187_S67,10981622,9750105,0.887856548,keep
202_S81,3657968,3245505,0.887242589,keep
212_S91,6522399,5784758,0.886906489,keep
216_S95,9220252,8170777,0.886177189,keep
188_S68,4453239,3943869,0.885618086,keep
211_S90,7039118,6233368,0.885532534,keep
367_S10,2872406,2543303,0.885426016,keep
270_S21,4181726,3700426,0.884903985,keep
105_S34,5069051,4484034,0.884590429,keep
328_S92,3937436,3482764,0.884525869,keep
169_S50,2158282,1908735,0.884377018,keep
210_S89,3770178,3334150,0.884348166,keep
214_S93,5642308,4988898,0.884194553,keep
204_S83,2982166,2630232,0.881987119,keep
279_S87,3760360,3316330,0.881918221,keep
235_S4,6840105,6031606,0.881800206,keep
168_S49,6267970,5526718,0.881739702,keep
364_S2,3080242,2715787,0.881679751,keep
244_S17,5206503,4586742,0.880964056,keep
213_S92,6993529,6159602,0.88075734,keep
293_S83,6141696,5407860,0.88051574,keep
256_S31,4472223,3933721,0.879589636,keep
173_S54,4393846,3863475,0.87929231,keep
181_S61,12750163,11205483,0.878850176,keep
197_S77,4827925,4242357,0.878712283,keep
236_S16,4187308,3679433,0.878710857,keep
306_S61,14171450,12452033,0.878670355,keep
92_S22,2561698,2250786,0.878630502,keep
93_S23,4342456,3813931,0.878288922,keep
166_S47,2428618,2132191,0.877944164,keep
400_S65,5684600,4986470,0.877189248,keep
248_S30,4237931,3716016,0.876846744,keep
103_S32,3356210,2942526,0.876740728,keep
290_S47,4550055,3989119,0.876718853,keep
292_S71,4330632,3796282,0.876611543,keep
102_S31,4192560,3674652,0.876469746,keep
184_S64,3273268,2868528,0.876349874,keep
165_S46,3007224,2634477,0.876049473,keep
276_S93,8399766,7355056,0.875626297,keep
221_S37,20297108,17772031,0.875594247,keep
