Gene,ep_locus,Enhancer_or_Promoter,Chromatin_domain,Tissue_specificity
.,chrI:1901:2051,putative_enhancer,border,Germline
homt-1,chrI:4277:4427,putative_enhancer,A,Unclassified
nlp-40,chrI:11273:11423,coding_promoter,A,Intest
homt-1,chrI:11273:11423,coding_promoter,A,Intest
nlp-40,chrI:13071:13221,putative_enhancer,A,Ubiq
nlp-40,chrI:15723:15873,putative_enhancer,A,Germline
rcor-1,chrI:22267:22417,putative_enhancer,A,Unclassified
rcor-1,chrI:26903:27053,coding_promoter,A,Ubiq
.,chrI:27083:27233,putative_enhancer,A,Ubiq
sesn-1,chrI:30272:30422,putative_enhancer,A,Unclassified
sesn-1,chrI:31959:32109,putative_enhancer,A,Unclassified
sesn-1,chrI:33765:33915,putative_enhancer,A,Ubiq
sesn-1,chrI:34627:34777,putative_enhancer,A,Hypod
sesn-1,chrI:35382:35532,putative_enhancer,A,Neurons_Muscle
sesn-1,chrI:36019:36169,coding_promoter,A,Intest
sesn-1,chrI:36472:36622,putative_enhancer,A,Intest
sesn-1,chrI:38987:39137,putative_enhancer,A,Intest
sesn-1,chrI:40870:41020,putative_enhancer,A,Muscle_Hypod
sesn-1,chrI:41423:41573,putative_enhancer,A,Unclassified
sesn-1,chrI:42127:42277,coding_promoter,A,Soma
sesn-1,chrI:43009:43159,putative_enhancer,A,Ubiq-Biased
Y74C9A.1,chrI:43281:43431,coding_promoter,A,Ubiq
sesn-1,chrI:46406:46556,putative_enhancer,A,Unclassified
sesn-1,chrI:46677:46827,putative_enhancer,A,Unclassified
Y48G1C.12,chrI:47054:47204,coding_promoter,A,Unclassified
sesn-1,chrI:47054:47204,coding_promoter,A,Unclassified
Y48G1C.12,chrI:47461:47611,putative_enhancer,A,Unclassified
.,chrI:65752:65902,putative_enhancer,border,Unclassified
.,chrI:67781:67931,putative_enhancer,border,Unclassified
csk-1,chrI:70045:70195,coding_promoter,A,Soma
csk-1,chrI:71235:71385,putative_enhancer,A,Unclassified
csk-1,chrI:71852:72002,putative_enhancer,A,Unclassified
csk-1,chrI:72363:72513,coding_promoter,A,Unclassified
csk-1,chrI:74707:74857,putative_enhancer,A,Unclassified
csk-1,chrI:75218:75368,putative_enhancer,A,Unclassified
Y48G1C.6,chrI:86365:86515,coding_promoter,A,Ubiq
Y48G1C.10,chrI:90439:90589,putative_enhancer,A,Unclassified
Y48G1C.9,chrI:91354:91504,putative_enhancer,A,Unclassified
Y48G1C.9,chrI:91715:91865,putative_enhancer,A,Unclassified
Y48G1C.9,chrI:92222:92372,putative_enhancer,A,Unclassified
Y48G1C.1,chrI:92876:93026,coding_promoter,A,Germline
Y48G1C.13,chrI:95023:95173,putative_enhancer,A,Germline
Y48G1C.8,chrI:96524:96674,putative_enhancer,A,Unclassified
Y48G1C.8,chrI:108263:108413,coding_promoter,A,Ubiq-Biased
.,chrI:108508:108658,putative_enhancer,A,Ubiq
rab-11.1,chrI:109604:109754,putative_enhancer,A,Ubiq
rpl-7,chrI:110121:110271,coding_promoter,A,Hypod_Intest
rab-11.1,chrI:110121:110271,coding_promoter,A,Hypod_Intest
rpl-7,chrI:110332:110482,coding_promoter,A,Ubiq-Biased
rab-11.1,chrI:110332:110482,coding_promoter,A,Ubiq-Biased
rpl-7,chrI:110636:110786,coding_promoter,A,Ubiq
rab-11.1,chrI:110636:110786,coding_promoter,A,Ubiq
rpl-7,chrI:111524:111674,putative_enhancer,A,Unclassified
rpl-7,chrI:111788:111938,putative_enhancer,A,Unclassified
F53G12.9,chrI:112380:112530,coding_promoter,A,Unclassified
F53G12.9,chrI:112714:112864,putative_enhancer,A,Unclassified
F53G12.8,chrI:114695:114845,putative_enhancer,border,Unclassified
mex-3,chrI:122408:122558,coding_promoter,border,Unclassified
mex-3,chrI:123901:124051,putative_enhancer,border,Unclassified
mex-3,chrI:124769:124919,putative_enhancer,border,Unclassified
mex-3,chrI:126633:126783,coding_promoter,border,Unclassified
mex-3,chrI:128238:128388,coding_promoter,border,Germline
mex-3,chrI:128404:128554,coding_promoter,border,Germline
mex-3,chrI:128677:128827,putative_enhancer,border,Unclassified
mex-3,chrI:129021:129171,putative_enhancer,border,Unclassified
mex-3,chrI:129896:130046,putative_enhancer,A,Unclassified
mex-3,chrI:130437:130587,putative_enhancer,A,Germline_Neurons_Muscle
mex-3,chrI:130844:130994,putative_enhancer,A,Unclassified
mex-3,chrI:134016:134166,putative_enhancer,border,Unclassified
F53G12.4,chrI:134219:134369,coding_promoter,border,Unclassified
bli-3,chrI:154099:154249,putative_enhancer,R,Unclassified
ptr-11,chrI:160123:160273,putative_enhancer,R,Hypod
ptr-11,chrI:165889:166039,putative_enhancer,border,Unclassified
ptr-11,chrI:166971:167121,coding_promoter,border,Hypod
ptr-11,chrI:168682:168832,putative_enhancer,border,Unclassified
F56C11.6,chrI:169734:169884,coding_promoter,border,Unclassified
ptr-11,chrI:169734:169884,coding_promoter,border,Unclassified
F56C11.6,chrI:171123:171273,coding_promoter,border,Intest
F56C11.6,chrI:171776:171926,putative_enhancer,border,Unclassified
F56C11.6,chrI:172377:172527,coding_promoter,border,Unclassified
F56C11.6,chrI:172820:172970,putative_enhancer,border,Ubiq-Biased
F56C11.6,chrI:173208:173358,coding_promoter,border,Unclassified
F56C11.5,chrI:177364:177514,coding_promoter,border,Hypod
F56C11.5,chrI:178420:178570,putative_enhancer,border,Unclassified
F56C11.5,chrI:179272:179422,putative_enhancer,A,Unclassified
F56C11.5,chrI:180177:180327,coding_promoter,A,Germline_Hypod
F56C11.3,chrI:182145:182295,putative_enhancer,A,Unclassified
F56C11.5,chrI:182145:182295,putative_enhancer,A,Unclassified
atm-1,chrI:182928:183078,coding_promoter,A,Ubiq
F56C11.3,chrI:182928:183078,coding_promoter,A,Ubiq
atm-1,chrI:183262:183412,coding_promoter,A,Unclassified
F56C11.3,chrI:183262:183412,coding_promoter,A,Unclassified
atm-1,chrI:183417:183567,putative_enhancer,A,Unclassified
atm-1,chrI:184786:184936,putative_enhancer,A,Unclassified
atm-1,chrI:202164:202314,putative_enhancer,A,Unclassified
atm-1,chrI:204402:204552,putative_enhancer,A,Unclassified
atm-1,chrI:206391:206541,putative_enhancer,A,Unclassified
Y48G1BL.7,chrI:211500:211650,putative_enhancer,A,Germline
.,chrI:211788:211938,putative_enhancer,A,Germline
snpc-3.3,chrI:215837:215987,coding_promoter,A,Germline
puf-10,chrI:216415:216565,putative_enhancer,A,Unclassified
snpc-3.3,chrI:216415:216565,putative_enhancer,A,Unclassified
Y48G1BL.8,chrI:217735:217885,coding_promoter,border,Unclassified
puf-10,chrI:217735:217885,coding_promoter,border,Unclassified
Y48G1BL.5,chrI:220263:220413,putative_enhancer,border,Unclassified
Y48G1BL.5,chrI:221314:221464,putative_enhancer,border,Unclassified
.,chrI:230512:230662,putative_enhancer,R,Ubiq
.,chrI:231336:231486,putative_enhancer,R,Unclassified
Y48G1BM.6,chrI:232645:232795,putative_enhancer,R,Unclassified
Y48G1BM.6,chrI:238033:238183,putative_enhancer,R,Unclassified
.,chrI:238436:238586,putative_enhancer,R,Unclassified
snpc-3.2,chrI:251911:252061,coding_promoter,R,Germline
Y48G1BM.8,chrI:251911:252061,coding_promoter,R,Germline
Y48G1BR.1,chrI:257943:258093,putative_enhancer,R,Hypod
