Iteration,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,WBGene00000752,WBGene00004323,WBGene00017485,WBGene00001157,WBGene00009629,WBGene00008666,WBGene00015167,WBGene00001481,WBGene00017079,WBGene00000266,0.888636505,0.705356565
2,WBGene00003893,WBGene00004014,WBGene00010877,WBGene00013284,WBGene00012576,WBGene00001175,WBGene00011144,WBGene00008174,WBGene00016947,WBGene00016905,0.895512669,0.551130172
3,WBGene00000609,WBGene00008669,WBGene00017698,WBGene00013391,WBGene00020382,WBGene00000716,WBGene00016192,WBGene00003055,WBGene00003589,WBGene00014012,0.892507874,0.662434098
4,WBGene00022245,WBGene00016084,WBGene00008669,WBGene00019018,WBGene00013694,WBGene00007405,WBGene00009973,WBGene00003835,WBGene00017065,WBGene00022664,0.886164707,0.536495207
5,WBGene00000609,WBGene00009246,WBGene00012802,WBGene00015926,WBGene00010115,WBGene00000984,WBGene00021057,WBGene00021260,WBGene00012277,WBGene00011815,0.913524256,0.496876764
6,WBGene00000609,WBGene00011830,WBGene00023407,WBGene00020510,WBGene00001397,WBGene00016124,WBGene00019864,WBGene00009133,WBGene00015744,WBGene00185048,0.900696594,0.548921474
7,WBGene00000609,WBGene00004237,WBGene00021260,WBGene00002010,WBGene00008174,WBGene00001955,WBGene00017981,WBGene00007128,WBGene00006706,WBGene00009082,0.913225728,0.424432215
8,WBGene00022245,WBGene00007464,WBGene00019477,WBGene00007875,WBGene00003804,WBGene00016905,WBGene00017163,WBGene00019509,WBGene00021044,WBGene00016266,0.896637419,0.486886575
9,WBGene00000609,WBGene00000716,WBGene00022245,WBGene00018990,WBGene00016654,WBGene00008019,WBGene00020149,WBGene00001088,WBGene00018146,WBGene00012241,0.91411496,0.62516597
10,WBGene00003893,WBGene00001387,WBGene00017852,WBGene00003619,WBGene00011201,WBGene00020511,WBGene00010657,WBGene00021419,WBGene00021544,WBGene00003970,0.891298994,0.579542198
11,WBGene00003893,WBGene00004389,WBGene00011979,WBGene00008745,WBGene00013438,WBGene00015965,WBGene00010879,WBGene00013672,WBGene00007583,WBGene00000728,0.873673922,0.453194185
12,WBGene00022245,WBGene00007927,WBGene00008621,WBGene00004031,WBGene00022508,WBGene00005712,WBGene00020392,WBGene00022712,WBGene00013344,WBGene00006447,0.890394087,0.549529852
13,WBGene00000609,WBGene00000716,WBGene00001853,WBGene00013297,WBGene00006863,WBGene00012951,WBGene00000812,WBGene00004243,WBGene00010700,WBGene00020349,0.929614916,0.668314944
14,WBGene00001155,WBGene00002010,WBGene00015650,WBGene00021735,WBGene00019813,WBGene00000840,WBGene00020796,WBGene00007824,WBGene00001558,WBGene00017427,0.899167088,0.426386602
15,WBGene00000609,WBGene00006836,WBGene00007941,WBGene00010174,WBGene00000716,WBGene00000876,WBGene00015357,WBGene00008720,WBGene00017089,WBGene00019522,0.904190139,0.629719716
16,WBGene00000609,WBGene00001157,WBGene00014243,WBGene00011985,WBGene00019294,WBGene00000716,WBGene00013481,WBGene00013080,WBGene00008720,WBGene00015173,0.925489188,0.682617002
17,WBGene00000609,WBGene00000716,WBGene00001155,WBGene00004161,WBGene00021112,WBGene00010370,WBGene00013727,WBGene00017119,WBGene00003731,WBGene00000880,0.877737972,0.609051769
18,WBGene00000609,WBGene00001157,WBGene00000993,WBGene00013268,WBGene00004891,WBGene00019550,WBGene00003619,WBGene00002497,WBGene00016995,WBGene00013595,0.904544761,0.63961255
19,WBGene00000609,WBGene00000716,WBGene00020765,WBGene00013284,WBGene00007277,WBGene00000460,WBGene00012943,WBGene00004121,WBGene00003594,WBGene00017981,0.89994299,0.581079615
