replicate,environment,parental_age,RNA_sample_number,ELO_hrs,brood_size
10/8/21,20C,OA,68,66,133
10/8/21,20C,OA,69,66,128
10/8/21,25C_8hr,OA,70,66,133
10/8/21,25C_8hr,OA,71,66,141
10/8/21,25C_8hr,OA,72,66,138
10/8/21,20C,OA,73,66,141
10/8/21,25C_8hr,YA,74,66,107
10/8/21,20C,YA,75,67,100
10/8/21,20C,OA,77,67,98
10/8/21,20C,OA,78,67,125
10/8/21,25C_8hr,OA,79,67,132
10/8/21,25C_8hr,OA,81,67,123
10/8/21,25C_8hr,OA,82,67,121
10/8/21,20C,OA,84,67,123
10/8/21,25C_8hr,OA,90,67,115
10/8/21,25C_8hr,YA,91,67,123
10/8/21,20C,OA,92,67,133
10/8/21,20C,OA,93,67,144
10/8/21,20C,YA,95,68,95
10/8/21,20C,YA,96,68,111
10/8/21,20C,OA,97,68,133
10/8/21,25C_8hr,YA,98,68,106
10/8/21,20C,YA,102,69,100
10/8/21,20C,YA,103,69,94
10/8/21,20C,OA,104,69,126
10/8/21,20C,OA,105,69,126
10/8/21,25C_8hr,OA,106,69,131
10/8/21,25C_8hr,OA,107,69,122
10/8/21,20C,YA,109,70,92
10/8/21,25C_8hr,OA,110,70,112
10/8/21,20C,YA,112,71,108
10/8/21,20C,YA,114,72,105
10/8/21,20C,YA,116,74,109
10/8/21,25C_8hr,YA,117,74,47
10/22/21,25C_8hr,OA,162,66,142
10/22/21,20C,OA,163,66,128
10/22/21,25C_8hr,YA,164,66,115
10/22/21,25C_8hr,YA,165,66,124
10/22/21,25C_8hr,YA,166,66,101
10/22/21,20C,YA,167,66,112
10/22/21,25C_8hr,OA,168,67,123
10/22/21,25C_8hr,OA,169,67,127
10/22/21,25C_8hr,OA,170,67,136
10/22/21,25C_8hr,OA,171,67,131
10/22/21,25C_8hr,OA,172,67,123
10/22/21,25C_8hr,YA,173,67,113
10/22/21,25C_8hr,YA,174,67,98
10/22/21,25C_8hr,YA,175,67,100
10/22/21,25C_8hr,YA,176,67,107
10/22/21,25C_8hr,YA,177,67,99
10/22/21,25C_8hr,OA,181,68,139
10/22/21,25C_8hr,OA,182,68,135
10/22/21,25C_8hr,OA,183,68,135
10/22/21,25C_8hr,OA,184,68,134
10/22/21,20C,OA,185,68,120
10/22/21,20C,OA,186,68,120
10/22/21,25C_8hr,YA,187,68,113
10/22/21,25C_8hr,YA,188,68,108
10/22/21,25C_8hr,OA,189,69,137
10/22/21,20C,OA,190,69,131
10/22/21,20C,OA,191,69,111
10/22/21,20C,OA,192,69,105
10/22/21,25C_8hr,YA,193,69,97
10/22/21,25C_8hr,YA,194,69,111
10/22/21,25C_8hr,YA,195,69,110
10/22/21,20C,YA,196,69,89
10/22/21,20C,YA,197,69,108
10/22/21,20C,YA,198,69,111
10/22/21,20C,YA,199,69,84
10/22/21,20C,YA,200,69,101
10/22/21,20C,OA,202,70,124
10/22/21,20C,OA,203,70,147
10/22/21,25C_8hr,YA,204,70,122
10/22/21,25C_8hr,YA,205,70,90
10/22/21,20C,YA,206,70,98
10/22/21,20C,YA,207,70,103
10/22/21,25C_8hr,OA,208,71,105
10/22/21,20C,OA,209,71,142
10/22/21,20C,OA,210,71,129
10/22/21,20C,OA,211,71,134
10/22/21,20C,OA,212,71,140
10/22/21,20C,YA,213,71,108
10/22/21,20C,YA,214,71,93
10/22/21,20C,YA,215,71,116
10/22/21,20C,YA,216,72,51
10/22/21,20C,YA,217,72,59
4/15/22,25C_8hr,YA,218,66,101
4/15/22,25C_8hr,YA,219,66,91
4/15/22,25C_8hr,OA,220,66,124
4/15/22,25C_8hr,OA,221,66,137
4/15/22,25C_8hr,YA,224,67,93
4/15/22,25C_8hr,YA,225,67,88
4/15/22,25C_8hr,YA,226,67,101
4/15/22,25C_8hr,YA,227,67,97
4/15/22,20C,YA,228,67,82
4/15/22,20C,YA,229,67,84
4/15/22,25C_8hr,OA,230,67,126
4/15/22,25C_8hr,OA,231,67,121
4/15/22,25C_8hr,OA,232,67,99
4/15/22,25C_8hr,OA,233,67,140
4/15/22,20C,OA,234,67,122
4/15/22,25C_8hr,YA,235,68,105
4/15/22,25C_8hr,YA,236,68,82
4/15/22,25C_8hr,YA,237,68,103
4/15/22,25C_8hr,YA,238,68,91
4/15/22,25C_8hr,YA,239,68,87
4/15/22,25C_8hr,YA,240,68,83
4/15/22,20C,YA,241,68,80
4/15/22,20C,YA,242,68,89
4/15/22,20C,YA,243,68,96
4/15/22,25C_8hr,OA,244,68,129
4/15/22,20C,OA,245,68,88
4/15/22,25C_8hr,YA,246,69,113
4/15/22,25C_8hr,YA,247,69,119
4/15/22,25C_8hr,YA,248,69,122
4/15/22,25C_8hr,YA,249,69,94
4/15/22,25C_8hr,YA,250,69,96
4/15/22,25C_8hr,YA,252,69,117
4/15/22,20C,YA,253,69,96
4/15/22,20C,YA,254,69,94
4/15/22,20C,YA,255,69,85
4/15/22,20C,YA,256,69,95
4/15/22,20C,YA,257,69,99
4/15/22,20C,OA,258,69,115
4/15/22,20C,OA,259,69,127
4/15/22,20C,OA,260,69,96
4/15/22,20C,OA,261,69,94
4/15/22,25C_8hr,YA,262,70,77
4/15/22,25C_8hr,YA,263,70,100
4/15/22,20C,YA,264,70,98
4/15/22,25C_8hr,OA,265,70,139
4/15/22,20C,OA,266,70,133
4/15/22,20C,OA,267,70,104
4/15/22,20C,OA,268,70,110
4/15/22,25C_8hr,YA,269,71,76
4/15/22,25C_8hr,YA,270,71,121
4/15/22,25C_8hr,YA,271,71,113
4/15/22,20C,YA,272,71,103
4/15/22,20C,YA,273,71,87
4/15/22,20C,YA,274,71,88
4/15/22,20C,YA,275,71,94
4/15/22,20C,YA,276,71,83
4/15/22,20C,OA,277,71,126
4/15/22,20C,OA,278,71,136
4/15/22,20C,OA,279,71,121
4/15/22,20C,YA,281,72,79
4/15/22,20C,YA,282,72,88
4/15/22,20C,YA,283,72,113
4/15/22,20C,YA,285,72,98
4/15/22,20C,YA,286,72,108
4/15/22,20C,OA,287,72,140
4/15/22,20C,OA,288,72,122
4/15/22,20C,YA,290,73,95
4/15/22,20C,YA,291,73,86
4/15/22,20C,YA,292,73,102
4/15/22,25C_8hr,YA,293,74,106
4/15/22,20C,YA,294,74,83
4/29/22,25C_8hr,OA,305,68,137
4/29/22,20C,OA,306,68,129
4/29/22,20C,OA,307,68,141
4/29/22,25C_8hr,YA,308,68,105
4/29/22,25C_8hr,YA,328,70,114
4/29/22,25C_8hr,YA,348,73,149
5/9/22,25C_8hr,OA,352,67,122
5/9/22,20C,YA,356,67,118
5/9/22,25C_8hr,OA,364,68,142
5/9/22,25C_8hr,OA,365,68,134
5/9/22,25C_8hr,OA,366,68,142
5/9/22,25C_8hr,OA,367,68,153
5/9/22,25C_8hr,OA,368,68,129
5/9/22,20C,YA,369,68,127
5/9/22,20C,YA,370,68,81
5/9/22,20C,YA,371,68,123
5/9/22,25C_8hr,YA,372,68,94
5/9/22,25C_8hr,YA,373,68,95
5/9/22,20C,OA,398,72,127
5/9/22,20C,OA,399,72,141
5/9/22,20C,OA,400,72,129
5/9/22,20C,OA,401,72,136
5/9/22,25C_8hr,OA,402,72,160
10/8/21,20C,OA,76,67,128
10/8/21,20C,OA,80,67,138
10/8/21,25C_8hr,YA,85,67,118
10/8/21,25C_8hr,YA,86,67,129
10/8/21,25C_8hr,YA,87,67,122
10/8/21,20C,YA,94,68,97
10/8/21,25C_8hr,YA,99,68,131
10/8/21,20C,YA,101,69,47
10/22/21,20C,YA,178,67,99
10/22/21,20C,YA,179,67,114
5/9/22,25C_8hr,OA,355,67,136
5/9/22,25C_8hr,YA,359,67,137
