Iteration,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,WBGene00004058,WBGene00015061,WBGene00001851,WBGene00010913,WBGene00012204,WBGene00015735,WBGene00018055,WBGene00001481,WBGene00016093,WBGene00000764,0.836425395,0.240915901
2,WBGene00045483,WBGene00017201,WBGene00013225,WBGene00015733,WBGene00006404,WBGene00000815,WBGene00014244,WBGene00003868,WBGene00012395,WBGene00006591,0.827756156,0.357203553
3,WBGene00013212,WBGene00012802,WBGene00006609,WBGene00002038,WBGene00018044,WBGene00022253,WBGene00010781,WBGene00019727,WBGene00021082,WBGene00020025,0.80927666,0.269559066
4,WBGene00000236,WBGene00012982,WBGene00003514,WBGene00019827,WBGene00001436,WBGene00009992,WBGene00015056,WBGene00012556,WBGene00020457,WBGene00016860,0.82085154,0.206632302
5,WBGene00011573,WBGene00013550,WBGene00000040,WBGene00004241,WBGene00013552,WBGene00004181,WBGene00004404,WBGene00006580,WBGene00013302,WBGene00000797,0.849329107,0.239387419
6,WBGene00011573,WBGene00021813,WBGene00012700,WBGene00018964,WBGene00013529,WBGene00021764,WBGene00004979,WBGene00010796,WBGene00017923,WBGene00003989,0.854158489,0.205206922
7,WBGene00022077,WBGene00000444,WBGene00004058,WBGene00017201,WBGene00001564,WBGene00010887,WBGene00006503,WBGene00021123,WBGene00001402,WBGene00000940,0.845450238,0.337471501
8,WBGene00012700,WBGene00007332,WBGene00022077,WBGene00007221,WBGene00016490,WBGene00004979,WBGene00017131,WBGene00020197,WBGene00009139,WBGene00013884,0.835897041,0.246236811
9,WBGene00011044,WBGene00019017,WBGene00007201,WBGene00012983,WBGene00017724,WBGene00010047,WBGene00020557,WBGene00001488,WBGene00020933,WBGene00006602,0.822811484,0.281752023
10,WBGene00012700,WBGene00007332,WBGene00006406,WBGene00008766,WBGene00010966,WBGene00017074,WBGene00014234,WBGene00011733,WBGene00012544,WBGene00010296,0.855730159,0.18591752
11,WBGene00012471,WBGene00001501,WBGene00003530,WBGene00009787,WBGene00008385,WBGene00016028,WBGene00010274,WBGene00022505,WBGene00000877,WBGene00009460,0.859384161,0.180685458
12,WBGene00009007,WBGene00019762,WBGene00020823,WBGene00021810,WBGene00020587,WBGene00015658,WBGene00017584,WBGene00018702,WBGene00009556,WBGene00004317,0.804582589,0.292411853
13,WBGene00021813,WBGene00009588,WBGene00018044,WBGene00009726,WBGene00009628,WBGene00010657,WBGene00010015,WBGene00004136,WBGene00001332,WBGene00003837,0.808840825,0.212694134
14,WBGene00013212,WBGene00011309,WBGene00015116,WBGene00001501,WBGene00018270,WBGene00008399,WBGene00016443,WBGene00006414,WBGene00001335,WBGene00012259,0.835229804,0.129284584
15,WBGene00018602,WBGene00016987,WBGene00012983,WBGene00021816,WBGene00011044,WBGene00009930,WBGene00019164,WBGene00000368,WBGene00050944,WBGene00255714,0.765456383,0.243852409
16,WBGene00019373,WBGene00011573,WBGene00003851,WBGene00012903,WBGene00008971,WBGene00018010,WBGene00019105,WBGene00018400,WBGene00020398,WBGene00010813,0.831931331,0.293941878
17,WBGene00013567,WBGene00021698,WBGene00022149,WBGene00007807,WBGene00194641,WBGene00004040,WBGene00009027,WBGene00015128,WBGene00001089,WBGene00003627,0.836593688,0.217562947
18,WBGene00017123,WBGene00002134,WBGene00045433,WBGene00018987,WBGene00017046,WBGene00000964,WBGene00018422,WBGene00017402,WBGene00010902,WBGene00011912,0.819978349,0.176084884
19,WBGene00007332,WBGene00007807,WBGene00018607,WBGene00009787,WBGene00018523,WBGene00013014,WBGene00008167,WBGene00001019,WBGene00020158,WBGene00009578,0.793522834,0.341362604
20,WBGene00007332,WBGene00012700,WBGene00010296,WBGene00011237,WBGene00001243,WBGene00003597,WBGene00003979,WBGene00018781,WBGene00007068,WBGene00012201,0.83474561,0.263017767
21,WBGene00007030,WBGene00303009,WBGene00018923,WBGene00022666,WBGene00021714,WBGene00194641,WBGene00004199,WBGene00014258,WBGene00011663,WBGene00019280,0.830360917,0.196220872
22,WBGene00017123,WBGene00004058,WBGene00018523,WBGene00003918,WBGene00010902,WBGene00011044,WBGene00012700,WBGene00012370,WBGene00016811,WBGene00004771,0.846254162,0.367141688
23,WBGene00011573,WBGene00007517,WBGene00016192,WBGene00012324,WBGene00016458,WBGene00007808,WBGene00014088,WBGene00003600,WBGene00011741,WBGene00022490,0.829406264,0.238201171
24,WBGene00013225,WBGene00002997,WBGene00010479,WBGene00018523,WBGene00001749,WBGene00018923,WBGene00020408,WBGene00015433,WBGene00002131,WBGene00001345,0.808919105,0.180330091
25,WBGene00008741,WBGene00008218,WBGene00013039,WBGene00008777,WBGene00014057,WBGene00010048,WBGene00013006,WBGene00010012,WBGene00003829,WBGene00045265,0.861364589,0.194421881
26,WBGene00001851,WBGene00017201,WBGene00017591,WBGene00000815,WBGene00008132,WBGene00010959,WBGene00019218,WBGene00020374,WBGene00006476,WBGene00012431,0.831987875,0.197367958
27,WBGene00011044,WBGene00007807,WBGene00017201,WBGene00021247,WBGene00044025,WBGene00001501,WBGene00006460,WBGene00086569,WBGene00020446,WBGene00010263,0.860464804,0.385440445
28,WBGene00015056,WBGene00011573,WBGene00011218,WBGene00001149,WBGene00015849,WBGene00004822,WBGene00010720,WBGene00015647,WBGene00006495,WBGene00017767,0.83773903,0.191464908
29,WBGene00009787,WBGene00012330,WBGene00013552,WBGene00000383,WBGene00004429,WBGene00017874,WBGene00009798,WBGene00010305,WBGene00016074,WBGene00012476,0.866987066,0.211917521
30,WBGene00011044,WBGene00019164,WBGene00010902,WBGene00019373,WBGene00013462,WBGene00000515,WBGene00002056,WBGene00009735,WBGene00000815,WBGene00008409,0.808187862,0.257505933
31,WBGene00017874,WBGene00019600,WBGene00018349,WBGene00010834,WBGene00015061,WBGene00022817,WBGene00013969,WBGene00009334,WBGene00044440,WBGene00022759,0.842835545,0.278817777
32,WBGene00006593,WBGene00001501,WBGene00020181,WBGene00000871,WBGene00002223,WBGene00255714,WBGene00000512,WBGene00014176,WBGene00008296,WBGene00017843,0.845785991,0.275963729
33,WBGene00000910,WBGene00009787,WBGene00020311,WBGene00013210,WBGene00016195,WBGene00008777,WBGene00003744,WBGene00015074,WBGene00003007,WBGene00011367,0.815843318,0.242074595
34,WBGene00017874,WBGene00012337,WBGene00010834,WBGene00016419,WBGene00007028,WBGene00015307,WBGene00007018,WBGene00018044,WBGene00000444,WBGene00022107,0.821739297,0.336084555
35,WBGene00016987,WBGene00015061,WBGene00003577,WBGene00015926,WBGene00016178,WBGene00002025,WBGene00006958,WBGene00011044,WBGene00013239,WBGene00022281,0.865425768,0.27689577
36,WBGene00013225,WBGene00012179,WBGene00019245,WBGene00007609,WBGene00017201,WBGene00009797,WBGene00011094,WBGene00022376,WBGene00007030,WBGene00011029,0.842214449,0.29786812
37,WBGene00009992,WBGene00001851,WBGene00014088,WBGene00017303,WBGene00006406,WBGene00008119,WBGene00001371,WBGene00020307,WBGene00020284,WBGene00022021,0.854817661,0.208788562
38,WBGene00019017,WBGene00045433,WBGene00003085,WBGene00001436,WBGene00009048,WBGene00044535,WBGene00015056,WBGene00023485,WBGene00009711,WBGene00000990,0.830800169,0.217906483
39,WBGene00018602,WBGene00012802,WBGene00021714,WBGene00017201,WBGene00001945,WBGene00001501,WBGene00013737,WBGene00004181,WBGene00015167,WBGene00021558,0.827423993,0.391280181
40,WBGene00009007,WBGene00007330,WBGene00010834,WBGene00001149,WBGene00004333,WBGene00045433,WBGene00007282,WBGene00019164,WBGene00015104,WBGene00020101,0.848615666,0.228983478
41,WBGene00009992,WBGene00004058,WBGene00010966,WBGene00017074,WBGene00011573,WBGene00007712,WBGene00011258,WBGene00007680,WBGene00015352,WBGene00001340,0.835925228,0.290137455
42,WBGene00011044,WBGene00012700,WBGene00002272,WBGene00044107,WBGene00015456,WBGene00008975,WBGene00012552,WBGene00015050,WBGene00018718,WBGene00008214,0.839993456,0.182025417
43,WBGene00007332,WBGene00008741,WBGene00015912,WBGene00017201,WBGene00003184,WBGene00020921,WBGene00007313,WBGene00010757,WBGene00011805,WBGene00010840,0.866297074,0.250545267
44,WBGene00018700,WBGene00017201,WBGene00021813,WBGene00019141,WBGene00018431,WBGene00009787,WBGene00019822,WBGene00016353,WBGene00015433,WBGene00008560,0.863267801,0.287336877
45,WBGene00021813,WBGene00011573,WBGene00020894,WBGene00004801,WBGene00013095,WBGene00000543,WBGene00017696,WBGene00021443,WBGene00013692,WBGene00017928,0.826896604,0.223836091
46,WBGene00011044,WBGene00011488,WBGene00022413,WBGene00019770,WBGene00012241,WBGene00010277,WBGene00003813,WBGene00015347,WBGene00015456,WBGene00007807,0.856015401,0.220931066
47,WBGene00004058,WBGene00015061,WBGene00001851,WBGene00021856,WBGene00014088,WBGene00014938,WBGene00018739,WBGene00021123,WBGene00018702,WBGene00015802,0.894637611,0.298862328
48,WBGene00007330,WBGene00008233,WBGene00001239,WBGene00010048,WBGene00014092,WBGene00008353,WBGene00000815,WBGene00008624,WBGene00008849,WBGene00001436,0.804063874,0.244604702
49,WBGene00012359,WBGene00044083,WBGene00015355,WBGene00022835,WBGene00013239,WBGene00020029,WBGene00010303,WBGene00020163,WBGene00006394,WBGene00000996,0.834632691,0.256548457
50,WBGene00014251,WBGene00011573,WBGene00019373,WBGene00001426,WBGene00022015,WBGene00008504,WBGene00006474,WBGene00020562,WBGene00015647,WBGene00010480,0.804985909,0.324335111
51,WBGene00004058,WBGene00015061,WBGene00009787,WBGene00008767,WBGene00008408,WBGene00019373,WBGene00018734,WBGene00001025,WBGene00000151,WBGene00014221,0.827301144,0.346176737
